sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
/,124,3,2,6,0.9049522670390661,0.0,0.14593574825612665,0.6237898145674476,4377.0
/login,124,2,1,31,2.6660758537326723,0.0,0.1459391833761147,0.5557242180484401,3899.3064516129034
/loginProcess,124,10,4,482,42.6214003396119,0.0,0.14593454600233494,0.5606600772511581,3934.064516129032
/hotels/search,247,4,2,55,4.612702537696701,0.0,0.2908400685770267,0.9353997899210375,3293.388663967611
/hotels,124,5876,5300,9328,648.0658991679895,1.0,0.14491686563518583,0.5958726869544435,4210.508064516129
/hotels/2,123,16,6,1073,95.68652412746948,0.0,0.1465016478457707,0.3625645932316239,2534.211382113821
/hotels/booking,738,7,3,455,20.764577799442662,0.33875338753387535,0.8785944393781742,3.0061252813317734,3503.6327913279133
/hotels/booking?execution=e1s1,123,2,1,33,4.174668105458568,0.0,0.1465978570492116,0.056150917949894526,392.219512195122
/hotels/booking?execution=e1s2,123,2,1,9,1.2069816949525616,0.032520325203252036,0.14660222525491506,0.09905823155106347,691.910569105691
/hotels/booking?execution=e1s3,123,2,1,13,1.3025395046652375,0.032520325203252036,0.14659558568511982,0.09912008755808702,692.3739837398374
/hotels/booking?execution=e1s4,123,6,4,12,1.4146808701750244,0.032520325203252036,0.14660519578349154,0.4880053875174615,3408.5934959349593
/logout,123,4,2,30,2.980559213902011,0.0,0.1466142828535192,0.47162254666923337,3293.959349593496
TOTAL,2219,334,1,9328,1357.1988034849462,0.17395223073456512,2.591169704683723,7.742948844030618,3059.9229382604776
